Address;City;Company;Name Full;Phone;Plus4;State;Zip;MD_PlaceCode;MD_LocationType;MD_MelissaAddressKeyBase;MD_Plus4;MD_MelissaAddressKey;MD_TotalSalesEstimate;MD_Phone;MD_NAICSCode1;MD_SICDescription1;MD_CountyName;MD_WebAddress;MD_CensusBlock;MD_Suite;MD_NAICSDescription1;MD_DeliveryIndicator;MD_CensusTract;MD_SICDescription2;MD_SICDescription3;MD_Latitude;MD_StockTicker;MD_PostalCode;MD_SICCode2;MD_SICCode1;MD_SICCode3;MD_PlaceName;MD_Longitude;MD_NAICSDescription3;MD_CountyFIPS;MD_NAICSDescription2;MD_State;MD_AddressLine1;MD_TotalEmployeesEstimate;MD_CompanyName;MD_City;MD_NAICSCode3;MD_NAICSCode2;MD_Results
Schuylkill & Lanier Ave      ;Philadelphia   ;Hagemeyer                     ;;2153395815;;PA;19145;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19145     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;Schuylkill & Lanier Ave                           ;                                                  ;Hagemeyer                                         ;Philadelphia                                      ;                                                  ;                                                  ;AE02,AE11,FE01                                    
1436 Lancaster Ave           ;Berwyn         ;Salix Pharmaceuticals Ltd     ;;9198621000;1200;PA;19312;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19312     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;1436 Lancaster Ave                                ;                                                  ;Salix Pharmaceuticals Ltd.                        ;Berwyn                                            ;                                                  ;                                                  ;AE09,AS02,FE01                                    
710 Stockton Dr              ;Exton          ;Graco Children's Products     ;Gibbs Rich            ;7704073987;1171;PA;19341;                                                  ;1                                                 ;                                                  ;1171                                              ;6517763714                                        ;21148000                                          ;7704073987                                        ;33993015                                          ;INFANTS EQUIPMENT & SUPPLIES-MFRS                 ;Chester                                           ;www.gracobaby.com                                 ;1029                                              ;                                                  ;DOLL, TOY & GAME MANUFACTURING                    ;                                                  ;304502                                            ;WOOD-HOUSEHOLD FURN-EX UPHOLSTERED                ;IMPORTERS (WHLS)                                  ;40.06758                                          ;                                                  ;19341     ;251198                                            ;394410                                            ;509905                                            ;                                                  ;-75.68979                                         ;OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHLSRS ;42029                                             ;NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MFG       ;PA                                                ;710 Stockton Dr                                   ;300                                               ;Graco Children's Products                         ;Exton                                             ;42399019                                          ;33712211                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS02,PS08           
5920 Houghton St             ;Philadelphia   ;Crusader Rail Svc             ;;2154827530;1638;PA;19128;60000                                             ;3                                                 ;                                                  ;1638                                              ;3689079121                                        ;375000                                            ;2154827530                                        ;45112032                                          ;RAILROADS-MODEL                                   ;Philadelphia                                      ;                                                  ;2006                                              ;                                                  ;HOBBY, TOY & GAME STORES                          ;                                                  ;021200                                            ;SERVICES NEC                                      ;                                                  ;40.03177                                          ;                                                  ;19128     ;899999                                            ;594525                                            ;                                                  ;Philadelphia                                      ;-75.20992                                         ;                                                  ;42101                                             ;ALL OTHER PROFESSIONAL, SCIENTIFIC/TECHNICAL SVCS ;PA                                                ;5920 Houghton St                                  ;2                                                 ;Crusader Rail Services                            ;Philadelphia                                      ;                                                  ;54199009                                          ;AS01,FS01,FS04,FS05,GS05,PS01,PS08,PS10           
510 Veterans Blvd            ;Branson        ;Arvest Bank                   ;;4173366363;;MO;65616;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;65616     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;MO                                                ;510 Veterans Blvd                                 ;                                                  ;Arvest Bank                                       ;Branson                                           ;                                                  ;                                                  ;AE10,FE01                                         
Highway 14 & Highway 95      ;Drury          ;Gentryville Garage            ;Berry Bob             ;4176835191;;MO;65638;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;95                                                ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;65638     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;MO                                                ;Highway 14 & Highway 95                           ;                                                  ;Gentryville Garage                                ;Drury                                             ;                                                  ;                                                  ;AE02,AE11,FE01                                    
203 E State St               ;Kennett Square ;K S I Crafts                  ;;6109252526;3111;PA;19348;39352                                             ;3                                                 ;                                                  ;3111                                              ;2092336559                                        ;3822000                                           ;6109252526                                        ;44531004                                          ;LIQUORS-RETAIL                                    ;Chester                                           ;                                                  ;1014                                              ;                                                  ;BEER, WINE & LIQUOR STORES                        ;                                                  ;303402                                            ;CRAFTS                                            ;NONCLASSIFIED ESTABLISHMENTS                      ;39.84717                                          ;                                                  ;19348     ;594520                                            ;592102                                            ;999977                                            ;Kennett Square                                    ;-75.710359                                        ;                                                  ;42029                                             ;HOBBY, TOY & GAME STORES                          ;PA                                                ;203 E State St                                    ;7                                                 ;K S I Crafts                                      ;Kennett Square                                    ;                                                  ;45112012                                          ;AS01,AS16,FS01,FS02,FS04,FS05,GS06,PS01,PS08,PS11 
RR 796                       ;Kelton         ;Church of Christ of West Grove;;6108698093;;PA;19346;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19346     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;RR 796                                            ;                                                  ;Church of Christ of West Grove                    ;Kelton                                            ;                                                  ;                                                  ;AE02,AE11,FE01                                    
22nd & Tioga St              ;Philadelphia   ;Mt Ephraim Baptist Church     ;;2152262720;;PA;19132;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19132     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;22nd & Tioga St                                   ;                                                  ;Mt Ephraim Baptist Church                         ;Philadelphia                                      ;                                                  ;                                                  ;AE02,FE01                                         
4700 Wissahickon Ave # 108   ;Philadelphia   ;Sqa Pharmacy Svc Inc          ;Oneil Jean            ;2154383308;4252;PA;19144;60000                                             ;3                                                 ;2145732496                                        ;4252                                              ;9782264907                                        ;1777000                                           ;2154383308                                        ;44611009                                          ;PHARMACIES                                        ;Philadelphia                                      ;www.sqapharmacy.com                               ;2020                                              ;Ste 108                                           ;PHARMACIES & DRUG STORES                          ;                                                  ;020500                                            ;PHYSICIANS & SURGEONS EQUIP & SUPLS-WHLS          ;                                                  ;40.015502                                         ;                                                  ;19144     ;504704                                            ;591205                                            ;                                                  ;Philadelphia                                      ;-75.174011                                        ;                                                  ;42101                                             ;MEDICAL, DENTAL/HOSPITAL EQUIP/SUPLS MRCHNT WHLSRS;PA                                                ;4700 Wissahickon Ave                              ;6                                                 ;SQA Pharmacy Service Inc.                         ;Philadelphia                                      ;                                                  ;42345028                                          ;AS01,FS01,FS04,FS05,GS05,PS01,PS08,PS11           
115 Gable Rd                 ;Paoli          ;Right Hand Man Svc            ;Kennedy Ross          ;6107251721;1806;PA;19301;57816                                             ;                                                  ;                                                  ;1806                                              ;6599919933                                        ;                                                  ;6107251721                                        ;                                                  ;SERVICES NEC                                      ;Chester                                           ;www.righthandmanservices.com                      ;2003                                              ;                                                  ;                                                  ;                                                  ;300303                                            ;                                                  ;                                                  ;40.03793                                          ;                                                  ;19301     ;                                                  ;899999                                            ;                                                  ;Paoli                                             ;-75.49303                                         ;                                                  ;42029                                             ;                                                  ;PA                                                ;115 Gable Rd                                      ;                                                  ;Right Hand Man Svc.                               ;Paoli                                             ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS10      
160 N Gulph Rd # 3223        ;King of Prussia;Fossil Apparel                ;Bauer Ashley          ;6102658677;2941;PA;19406;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19406     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;160 N Gulph Rd                                    ;                                                  ;Fossil Apparel                                    ;King Of Prussia                                   ;                                                  ;                                                  ;AE08,AS02,FE01                                    
1015 Walnut St # 801         ;Philadelphia   ;Kane Justin M MD              ;Kane Justin M MD      ;2159556748;5005;PA;19107;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19107     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;1015 Walnut St                                    ;                                                  ;KANE Justin M MD                                  ;Philadelphia                                      ;                                                  ;                                                  ;AE08,AS02,FE01                                    
2121 School Rd               ;Hatfield       ;Acupuncture For Life          ;Leidy Janet           ;2675750592;1928;PA;19440;                                                  ;3                                                 ;                                                  ;1928                                              ;6548337771                                        ;79000                                             ;2675750592                                        ;62139901                                          ;ACUPUNCTURE                                       ;Montgomery                                        ;                                                  ;2026                                              ;                                                  ;OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS    ;                                                  ;200707                                            ;                                                  ;                                                  ;40.28715                                          ;                                                  ;19440     ;                                                  ;804913                                            ;                                                  ;                                                  ;-75.28825                                         ;                                                  ;42091                                             ;                                                  ;PA                                                ;2121 School Rd                                    ;1                                                 ;Acupuncture for Life                              ;Hatfield                                          ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS02,PS07           
Arbour Square 695 Main Street;Harleysville   ;Arbour Square                 ;;2150001111;;PA;19438;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;Arbour                                            ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19438     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;Arbour Square 695 Main Street                     ;                                                  ;Arbour Square                                     ;Harleysville                                      ;                                                  ;                                                  ;AE02,AE11,FE01                                    
223 Shoemaker Rd # 131       ;Pottstown      ;Cash Converters               ;Tutt Bryan            ;6107053101;6447;PA;19464;62416                                             ;3                                                 ;4707125938                                        ;6447                                              ;1597754150                                        ;1452000                                           ;6107053101                                        ;52229813                                          ;PAWNBROKERS                                       ;Montgomery                                        ;www.cashconvertersunited.com                      ;2012                                              ;Ste 131                                           ;ALL OTHER NONDEPOSITORY CREDIT INTERMEDIATION     ;                                                  ;209000                                            ;JEWELRY BUYERS (WHLS)                             ;JEWELRY DESIGNERS                                 ;40.25425                                          ;                                                  ;19464     ;509407                                            ;593229                                            ;594408                                            ;Pottstown                                         ;-75.6652                                          ;JEWELRY STORES                                    ;42091                                             ;JEWELRY, WATCH, PRECIOUS STONE/METAL MRCHNT WHLSRS;PA                                                ;223 Shoemaker Rd                                  ;7                                                 ;Cash Converters                                   ;Pottstown                                         ;44831013                                          ;42394013                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
2821 Island Ave # C          ;Philadelphia   ;Mercy Eastwick Wellness Ctr   ;Duffy Thomas N DO     ;2158636155;2300;PA;19153;60000                                             ;3                                                 ;4889606526                                        ;2300                                              ;6485068011                                        ;529000                                            ;2158636155                                        ;62111107                                          ;PHYSICIANS & SURGEONS                             ;Philadelphia                                      ;                                                  ;1007                                              ;Ste C                                             ;OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS)   ;                                                  ;006000                                            ;                                                  ;                                                  ;39.90669                                          ;                                                  ;19153     ;                                                  ;801101                                            ;                                                  ;Philadelphia                                      ;-75.24077                                         ;                                                  ;42101                                             ;                                                  ;PA                                                ;2821 Island Ave                                   ;3                                                 ;Mercy Eastwick Wellness Ctr.                      ;Philadelphia                                      ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
330 Brintons Bridge Rd       ;West Chester   ;Inns                          ;;6105854606;8304;PA;19382;                                                  ;3                                                 ;                                                  ;8304                                              ;4495795224                                        ;183000                                            ;6105854606                                        ;72119102                                          ;INNS                                              ;Delaware                                          ;www.innsofdistinction.com                         ;1003                                              ;                                                  ;BED-&-BREAKFAST INNS                              ;                                                  ;410200                                            ;HOTEL & MOTEL MANAGEMENT                          ;                                                  ;39.89831                                          ;                                                  ;19382     ;701103                                            ;701102                                            ;                                                  ;                                                  ;-75.56834                                         ;                                                  ;42045                                             ;                                                  ;PA                                                ;330 Brintons Bridge Rd                            ;2                                                 ;Inns                                              ;West Chester                                      ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS02,PS07           
11808 Bustleton Ave          ;Philadelphia   ;11808 Bustleton Inc           ;;2156778133;;PA;19116;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19116     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;11808 Bustleton Ave                               ;                                                  ;11808 Bustleton Inc.                              ;Philadelphia                                      ;                                                  ;                                                  ;AE10,FE01                                         
2026 N 22nd St               ;Philadelphia   ;North-West Pharmacy Inc       ;Lee Henry             ;2152329222;;PA;19121;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19121     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;2026 N 22nd St                                    ;                                                  ;North-West Pharmacy Inc.                          ;Philadelphia                                      ;                                                  ;                                                  ;AE10,FE01                                         
Wilson Blvd & Ridge Pike     ;Trooper        ;Second Alarmers Assn & Rescue ;;2156742541;;PA;19403;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19403     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;Wilson Blvd & Ridge Pike                          ;                                                  ;Second Alarmers Assn. & Rescue                    ;Trooper                                           ;                                                  ;                                                  ;AE02,AE11,FE01                                    
1065 Andrew Dr # B3          ;West Chester   ;Aum Physical Therapy          ;Hatti Vrinda          ;6103447374;4293;PA;19380;                                                  ;3                                                 ;4547131349                                        ;4293                                              ;8878664998                                        ;328000                                            ;6103447374                                        ;62134007                                          ;PHYSICAL THERAPISTS                               ;Chester                                           ;www.aumphysicaltherapy.com                        ;1008                                              ;# B3                                              ;OFFICES-PHYSICAL, OCCPTNL/SPEECH THRPSTS/AUDLGSTS ;                                                  ;302703                                            ;PODIATRISTS INFORMATION BUREAUS                   ;                                                  ;39.98955                                          ;                                                  ;19380     ;804303                                            ;804918                                            ;                                                  ;                                                  ;-75.59141                                         ;                                                  ;42029                                             ;OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS    ;PA                                                ;1065 Andrew Dr                                    ;5                                                 ;AUM Physical Therapy                              ;West Chester                                      ;                                                  ;621399                                            ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
6401 Oxford Ave              ;Philadelphia   ;Rite Aid                      ;George Anny           ;2157452557;5400;PA;19111;60000                                             ;1                                                 ;                                                  ;5400                                              ;7443930027                                        ;1089000                                           ;2157452557                                        ;44619106                                          ;VITAMIN & FOOD SUPPLEMENTS                        ;Philadelphia                                      ;                                                  ;3000                                              ;                                                  ;FOOD (HEALTH) SUPPLEMENT STORES                   ;                                                  ;030900                                            ;E-COMMERCE                                        ;                                                  ;40.04556                                          ;                                                  ;19111     ;596104                                            ;549904                                            ;                                                  ;Philadelphia                                      ;-75.08774                                         ;                                                  ;42101                                             ;ELECTRONIC SHOPPING                               ;PA                                                ;6401 Oxford Ave                                   ;10                                                ;Rite Aid GNC Live Well Store                      ;Philadelphia                                      ;                                                  ;45411101                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
